Type,frequency,intensity,duration,trials,reaction,hit,hit_percent,miss,miss_percent,player
1,4,40,300,13,236.9888462,13,100,0,0,Human
1,4,50,300,13,194.9786923,13,100,0,0,Human
1,4,60,300,13,188.5287692,13,100,0,0,Human
1,4,70,300,13,175.0358462,13,100,0,0,Human
1,4,80,300,13,167.1572308,13,100,0,0,Human
1,4,90,300,13,167.0573846,13,100,0,0,Human
1,4,40,300,9,210.3256667,9,100,0,0,Human
1,4,50,300,9,224.6677778,9,100,0,0,Human
1,4,60,300,8,195.8725,8,100,0,0,Human
1,4,70,300,8,190.228,8,100,0,0,Human
1,4,80,300,8,187.172625,8,100,0,0,Human
1,4,90,300,8,147.325,8,100,0,0,Human
1,4,40,300,12,269.8500833,12,100,0,0,Human
1,4,50,300,12,250.0955,12,100,0,0,Human
1,4,60,300,12,264.95525,12,100,0,0,Human
1,4,70,300,12,259.1335833,12,100,0,0,Human
1,4,80,300,12,261.2758333,12,100,0,0,Human
1,4,90,300,12,250.4124167,12,100,0,0,Human
1,4,40,300,17,368.708,16,94.11764706,1,5.882352941,Human
1,4,50,300,17,464.4575882,17,100,0,0,Human
1,4,60,300,16,384.935375,16,100,0,0,Human
1,4,70,300,16,370.7883125,16,100,0,0,Human
1,4,80,300,16,351.949,16,100,0,0,Human
1,4,90,300,17,398.9169412,17,100,0,0,Human
1,4,40,300,12,217.3930833,12,100,0,0,Human
1,4,50,300,13,181.9234615,13,100,0,0,Human
1,4,60,300,13,179.3527692,13,100,0,0,Human
1,4,70,300,13,155.4978462,13,100,0,0,Human
1,4,80,300,12,155.9375833,12,100,0,0,Human
1,4,90,300,12,154.852,12,100,0,0,Human
1,4,40,300,15,179.0784,15,100,0,0,Human
1,4,50,300,14,163.1537857,14,100,0,0,Human
1,4,60,300,15,180.3863333,15,100,0,0,Human
1,4,70,300,13,151.6022308,13,100,0,0,Human
1,4,80,300,14,145.0607143,14,100,0,0,Human
1,4,90,300,15,135.5838,15,100,0,0,Human
1,4,40,300,8,171.283125,8,100,0,0,Human
1,4,50,300,8,170.401625,8,100,0,0,Human
1,4,60,300,9,174.2197778,9,100,0,0,Human
1,4,70,300,8,162.707625,8,100,0,0,Human
1,4,80,300,9,159.5932222,9,100,0,0,Human
1,4,90,300,9,144.5517778,9,100,0,0,Human
1,4,40,300,16,222.986,16,100,0,0,Human
1,4,50,300,17,216.0408235,17,100,0,0,Human
1,4,60,300,17,193.3769412,17,100,0,0,Human
1,4,70,300,17,191.6891765,17,100,0,0,Human
1,4,80,300,17,187.8105294,17,100,0,0,Human
1,4,90,300,17,175.5065294,17,100,0,0,Human
,,40,,,375,,,,,Human
,,90,,,189,,,,,Human
,,40,,,256,,,,,Human
,,90,,,169,,,,,Human
,,40,,,243,,,,,Human
,,90,,,116,,,,,Human
,,40,,,327,,,,,Human
,,90,,,187,,,,,Human
,,40,,,309,,,,,Human
,,90,,,230,,,,,Human
,,40,,,321,,,,,Human
,,90,,,255,,,,,Human
,,40,,,357,,,,,Human
,,90,,,231,,,,,Human
,,40,,,388,,,,,Human
,,90,,,218,,,,,Human
,,40,,,413,,,,,Human
,,90,,,275,,,,,Human
,,40,,,274,,,,,Human
,,90,,,167,,,,,Human
,,40,,,339,,,,,Human
,,90,,,213,,,,,Human
,,40,,,276,,,,,Human
,,90,,,227,,,,,Human
,,40,,,387,,,,,Human
,,90,,,162,,,,,Human
,,40,,,353,,,,,Human
,,90,,,232,,,,,Human
,,40,,,357,,,,,Human
,,90,,,236,,,,,Human
,,40,,,313,,,,,Human
,,90,,,200,,,,,Human
,,40,,,301,,,,,Human
,,90,,,220,,,,,Human
,,40,,,387,,,,,Human
,,90,,,251,,,,,Human
,,40,,,253,,,,,Human
,,90,,,157,,,,,Human
,,40,,,344,,,,,Human
,,90,,,197,,,,,Human
,,40,,,354,,,,,Human
,,90,,,231,,,,,Human
,,40,,,345,,,,,Human
,,90,,,188,,,,,Human
,,40,,,294,,,,,Human
,,90,,,211,,,,,Human
,,40,,,403,,,,,Human
,,90,,,222,,,,,Human
,,40,,,392,,,,,Human
,,90,,,236,,,,,Human
,,40,,,390,,,,,Human
,,90,,,201,,,,,Human
,,40,,,422,,,,,Human
,,90,,,256,,,,,Human
,,40,,,388,,,,,Human
